구분,강도검거,강도발생,살인검거,살인발생,성범죄검거,성범죄발생,절도검거,절도발생,폭력검거,폭력발생,구
강남,11.0,13.0,6.0,8.0,325.0,428.0,737.0,1517.0,1699.0,1961.0,강남구
강동,6.0,6.0,3.0,3.0,103.0,124.0,889.0,1612.0,1461.0,1713.0,강동구
강북,1.0,1.0,4.0,4.0,115.0,136.0,537.0,777.0,1255.0,1383.0,강북구
강서,3.0,3.0,7.0,9.0,188.0,246.0,921.0,1540.0,1925.0,2098.0,강서구
관악,6.0,7.0,4.0,8.0,269.0,321.0,929.0,1860.0,1926.0,2248.0,관악구
광진,4.0,4.0,3.0,5.0,161.0,208.0,754.0,1414.0,1280.0,1456.0,광진구
구로,1.0,2.0,5.0,5.0,118.0,182.0,770.0,1390.0,1537.0,1907.0,구로구
금천,4.0,3.0,6.0,7.0,103.0,134.0,520.0,1013.0,1108.0,1282.0,금천구
남대문,3.0,3.0,2.0,2.0,40.0,52.0,313.0,514.0,423.0,464.0,중구
노원,3.0,3.0,6.0,6.0,126.0,156.0,654.0,1361.0,1513.0,1899.0,노원구
도봉,1.0,2.0,2.0,2.0,64.0,72.0,376.0,772.0,851.0,1012.0,도봉구
동대문,8.0,7.0,4.0,3.0,147.0,169.0,659.0,1240.0,1295.0,1540.0,동대문구
동작,1.0,1.0,3.0,2.0,94.0,180.0,675.0,1129.0,1056.0,1319.0,동작구
마포,4.0,4.0,3.0,4.0,275.0,321.0,730.0,1510.0,1367.0,1701.0,마포구
방배,0.0,0.0,0.0,0.0,37.0,47.0,159.0,313.0,304.0,339.0,서초구
서대문,2.0,2.0,3.0,3.0,120.0,137.0,562.0,1027.0,907.0,1109.0,서대문구
서부,1.0,1.0,3.0,2.0,50.0,66.0,400.0,706.0,677.0,782.0,은평구
서초,5.0,5.0,9.0,9.0,191.0,265.0,532.0,1190.0,1202.0,1488.0,서초구
성동,1.0,4.0,4.0,3.0,82.0,110.0,497.0,905.0,926.0,1090.0,성동구
성북,0.0,0.0,2.0,3.0,56.0,78.0,190.0,391.0,537.0,610.0,성북구
송파,6.0,7.0,3.0,3.0,216.0,247.0,995.0,2024.0,2046.0,2433.0,송파구
수서,12.0,12.0,5.0,4.0,129.0,150.0,423.0,855.0,1050.0,1198.0,강남구
양천,3.0,3.0,1.0,1.0,92.0,116.0,700.0,1349.0,1289.0,1546.0,양천구
영등포,11.0,11.0,8.0,8.0,196.0,279.0,831.0,1712.0,1731.0,2169.0,영등포구
용산,1.0,1.0,2.0,3.0,103.0,141.0,484.0,945.0,1069.0,1291.0,용산구
은평,2.0,2.0,2.0,2.0,83.0,100.0,425.0,718.0,780.0,865.0,은평구
종로,2.0,2.0,0.0,3.0,59.0,88.0,234.0,513.0,663.0,815.0,종로구
종암,2.0,2.0,1.0,1.0,32.0,40.0,284.0,504.0,683.0,782.0,성북구
중랑,7.0,6.0,4.0,4.0,117.0,141.0,835.0,1399.0,1442.0,1660.0,중랑구
중부,3.0,3.0,4.0,4.0,57.0,109.0,426.0,765.0,801.0,945.0,중구
혜화,2.0,2.0,3.0,3.0,43.0,68.0,270.0,566.0,525.0,652.0,종로구
